Gene,logFC,p_value,adj_p,ID,Gene symbol,Gene title
205538_at,0.8224276595950246,3.5918530580363936e-10,1.9051481832319572e-08,205538_at,CORO2A,coronin 2A
223356_s_at,-1.5097956865972837,3.5963235888492015e-10,1.9056674286970933e-08,223356_s_at,MTIF3,mitochondrial translational initiation factor 3
65438_at,1.2278807967516987,3.6033101865859964e-10,1.907517620501233e-08,65438_at,TLDC1,TBC/LysM-associated domain containing 1
1554741_s_at,-2.2869335975407203,3.622235443745143e-10,1.9150226498750928e-08,1554741_s_at,FGF7P3///FGF7P6///FGF7,fibroblast growth factor 7 pseudogene 3///fibroblast growth factor 7 pseudogene 6///fibroblast growth factor 7
1568617_a_at,0.964077473235296,3.6245046580570745e-10,1.9150226498750928e-08,1568617_a_at,CAMSAP3,calmodulin regulated spectrin associated protein family member 3
226421_at,1.5345216130056567,3.6374853044697503e-10,1.9200223446098115e-08,226421_at,AMMECR1,"Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1"
232144_at,1.5868343585282831,3.6450604944068316e-10,1.9221619007172026e-08,232144_at,,
222040_at,2.284290092427601,3.66699394117681e-10,1.931861605361864e-08,222040_at,HNRNPA1,heterogeneous nuclear ribonucleoprotein A1
205980_s_at,3.790670040051468,3.71253553930913e-10,1.9539679575694603e-08,205980_s_at,PRR5-ARHGAP8///ARHGAP8,PRR5-ARHGAP8 readthrough///Rho GTPase activating protein 8
229966_at,1.9398180497890247,3.7747792383206826e-10,1.984222303160955e-08,229966_at,EWSR1,EWS RNA binding protein 1
239862_at,2.99801605729694,3.7772897506078013e-10,1.984222303160955e-08,239862_at,,
218935_at,1.0366448496510166,3.788804836559743e-10,1.9883574920634063e-08,218935_at,EHD3,EH domain containing 3
218834_s_at,2.27588145672794,3.806412380139658e-10,1.995678974982156e-08,218834_s_at,TMEM132A,transmembrane protein 132A
218714_at,1.2570322469185529,3.8156934390148676e-10,1.9978734101171883e-08,218714_at,PRR14,proline rich 14
1554599_x_at,1.0034496654553178,3.817918918910619e-10,1.9978734101171883e-08,1554599_x_at,LIG3,DNA ligase 3
222039_at,2.3802473806402733,3.8300902031905264e-10,2.0023227318001503e-08,222039_at,KIF18B,kinesin family member 18B
243318_at,1.935259051839364,3.833870499346274e-10,2.0023810333379936e-08,243318_at,DCAF8,DDB1 and CUL4 associated factor 8
213220_at,-1.0128747442256794,3.8686506158147606e-10,2.0186145502921018e-08,213220_at,BBIP1,BBSome interacting protein 1
227134_at,3.141172618437781,3.9671904674922456e-10,2.0680543316643678e-08,227134_at,SYTL1,synaptotagmin like 1
219401_at,1.26857110717647,3.972919538753543e-10,2.0690646517712757e-08,219401_at,XYLT2,xylosyltransferase 2
38158_at,1.442971943188348,4.005772704921178e-10,2.0841855906758153e-08,38158_at,ESPL1,"extra spindle pole bodies like 1, separase"
233214_at,1.4799004509315603,4.011963174828844e-10,2.0854184582760327e-08,233214_at,,
238787_at,2.097141970078052,4.016240594065884e-10,2.085655522202873e-08,238787_at,DENND1B,DENN domain containing 1B
214132_at,1.4046721455214932,4.0506612690049655e-10,2.101530811796788e-08,214132_at,ATP5C1,"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1"
231283_at,1.5763807690446816,4.108608884432432e-10,2.1295704112387252e-08,231283_at,MGAT4A,"mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme A"
235153_at,1.5189540843925329,4.156580746767724e-10,2.152185079140949e-08,235153_at,RNF183,ring finger protein 183
220898_at,1.259031031008487,4.160126162981551e-10,2.152185079140949e-08,220898_at,,
